employee_id,full_name,current_role,current_grade,target_role,target_grade,target_source,skill_id,skill_name,skill_type,category,current_level,required_level,gap,critical
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_SQL,SQL,hard,engineering,2,3,1,False
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_API_DESIGN,API Design,hard,engineering,2,3,1,True
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_SYSTEM_DESIGN,System Design,hard,engineering,1,2,1,False
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_CLOUD,Cloud Platforms,hard,engineering,1,2,1,False
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_CONTAINERS,Containers & Orchestration,hard,engineering,0,2,2,False
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_CICD,CI/CD,hard,engineering,1,2,1,False
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_APP_SECURITY,Application Security,hard,engineering,0,2,2,False
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_OBSERVABILITY,Observability,hard,engineering,0,2,2,False
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_COMMUNICATION,Communication,soft,communication,2,3,1,False
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_TEAMWORK,Teamwork,soft,collaboration,2,3,1,False
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_PROBLEM_SOLVING,Problem Solving,soft,thinking,2,3,1,False
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_MENTORING,Mentoring,soft,leadership,0,1,1,False
E0001,Marat Yessenov,Backend Engineer,Junior,Backend Engineer,Middle,career_goal,SK_PUBLIC_SPEAKING,Public Speaking,soft,communication,0,1,1,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_PYTHON,Python,hard,engineering,3,4,1,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_SQL,SQL,hard,engineering,3,4,1,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_API_DESIGN,API Design,hard,engineering,1,4,3,True
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_SYSTEM_DESIGN,System Design,hard,engineering,1,4,3,True
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_CLOUD,Cloud Platforms,hard,engineering,2,3,1,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_CONTAINERS,Containers & Orchestration,hard,engineering,1,3,2,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_CICD,CI/CD,hard,engineering,2,3,1,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_APP_SECURITY,Application Security,hard,engineering,2,3,1,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_OBSERVABILITY,Observability,hard,engineering,2,3,1,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_COMMUNICATION,Communication,soft,communication,2,3,1,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_MENTORING,Mentoring,soft,leadership,1,3,2,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_LEADERSHIP,Leadership,soft,leadership,1,2,1,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_STAKEHOLDER_MGMT,Stakeholder Management,soft,communication,1,2,1,False
E0002,Arman Zhaksylykov,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_PUBLIC_SPEAKING,Public Speaking,soft,communication,1,2,1,False
E0003,Symbat Omarova,Customer Support Specialist,Senior,Customer Support Specialist,Senior,current_profile,SK_TROUBLESHOOTING,Technical Troubleshooting,hard,support,2,3,1,True
E0003,Symbat Omarova,Customer Support Specialist,Senior,Customer Support Specialist,Senior,current_profile,SK_CRM,CRM Systems,hard,sales,2,3,1,False
E0003,Symbat Omarova,Customer Support Specialist,Senior,Customer Support Specialist,Senior,current_profile,SK_CONFLICT_RESOLUTION,Conflict Resolution,soft,leadership,2,3,1,False
E0003,Symbat Omarova,Customer Support Specialist,Senior,Customer Support Specialist,Senior,current_profile,SK_ADAPTABILITY,Adaptability,soft,personal_effectiveness,2,3,1,False
E0003,Symbat Omarova,Customer Support Specialist,Senior,Customer Support Specialist,Senior,current_profile,SK_PROBLEM_SOLVING,Problem Solving,soft,thinking,1,3,2,False
E0004,Nikita Smirnov,Data Analyst,Middle,Product Manager,Middle,career_goal,SK_PRODUCT_DISCOVERY,Product Discovery,hard,product,0,3,3,True
E0004,Nikita Smirnov,Data Analyst,Middle,Product Manager,Middle,career_goal,SK_ROADMAPPING,Roadmapping & Prioritization,hard,product,0,2,2,False
E0004,Nikita Smirnov,Data Analyst,Middle,Product Manager,Middle,career_goal,SK_PRODUCT_ANALYTICS,Product Analytics,hard,product,2,3,1,True
E0004,Nikita Smirnov,Data Analyst,Middle,Product Manager,Middle,career_goal,SK_UX_RESEARCH,UX Research,hard,product,0,2,2,False
E0004,Nikita Smirnov,Data Analyst,Middle,Product Manager,Middle,career_goal,SK_REQUIREMENTS,Requirements Writing,hard,product,0,3,3,False
E0004,Nikita Smirnov,Data Analyst,Middle,Product Manager,Middle,career_goal,SK_AGILE,Agile Practices,hard,product,0,3,3,False
E0004,Nikita Smirnov,Data Analyst,Middle,Product Manager,Middle,career_goal,SK_PROJECT_MGMT,Project Management,hard,product,0,2,2,False
E0004,Nikita Smirnov,Data Analyst,Middle,Product Manager,Middle,career_goal,SK_STAKEHOLDER_MGMT,Stakeholder Management,soft,communication,2,3,1,False
E0004,Nikita Smirnov,Data Analyst,Middle,Product Manager,Middle,career_goal,SK_PUBLIC_SPEAKING,Public Speaking,soft,communication,1,2,1,False
E0004,Nikita Smirnov,Data Analyst,Middle,Product Manager,Middle,career_goal,SK_CRITICAL_THINKING,Critical Thinking,soft,thinking,2,3,1,False
E0005,Togzhan Yessenova,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_PYTHON,Python,hard,engineering,2,4,2,False
E0005,Togzhan Yessenova,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_SQL,SQL,hard,engineering,3,4,1,False
E0005,Togzhan Yessenova,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_API_DESIGN,API Design,hard,engineering,3,4,1,True
E0005,Togzhan Yessenova,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_SYSTEM_DESIGN,System Design,hard,engineering,2,4,2,True
E0005,Togzhan Yessenova,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_CLOUD,Cloud Platforms,hard,engineering,2,3,1,False
E0005,Togzhan Yessenova,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_APP_SECURITY,Application Security,hard,engineering,1,3,2,False
E0005,Togzhan Yessenova,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_OBSERVABILITY,Observability,hard,engineering,2,3,1,False
E0005,Togzhan Yessenova,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_PROBLEM_SOLVING,Problem Solving,soft,thinking,3,4,1,False
E0005,Togzhan Yessenova,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_MENTORING,Mentoring,soft,leadership,1,3,2,False
E0005,Togzhan Yessenova,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_LEADERSHIP,Leadership,soft,leadership,1,2,1,False
E0005,Togzhan Yessenova,Backend Engineer,Middle,Backend Engineer,Senior,career_goal,SK_PUBLIC_SPEAKING,Public Speaking,soft,communication,0,2,2,False
E0006,Arman Sadykov,Frontend Engineer,Lead,Frontend Engineer,Lead,current_profile,SK_JAVASCRIPT,JavaScript,hard,frontend,2,4,2,False
E0006,Arman Sadykov,Frontend Engineer,Lead,Frontend Engineer,Lead,current_profile,SK_CICD,CI/CD,hard,engineering,1,3,2,False
E0006,Arman Sadykov,Frontend Engineer,Lead,Frontend Engineer,Lead,current_profile,SK_LEADERSHIP,Leadership,soft,leadership,2,4,2,True
E0006,Arman Sadykov,Frontend Engineer,Lead,Frontend Engineer,Lead,current_profile,SK_STAKEHOLDER_MGMT,Stakeholder Management,soft,communication,2,4,2,False
E0006,Arman Sadykov,Frontend Engineer,Lead,Frontend Engineer,Lead,current_profile,SK_PUBLIC_SPEAKING,Public Speaking,soft,communication,2,3,1,False
E0007,Kanat Tulegenov,Backend Engineer,Senior,Backend Engineer,Lead,career_goal,SK_PYTHON,Python,hard,engineering,3,4,1,False
E0007,Kanat Tulegenov,Backend Engineer,Senior,Backend Engineer,Lead,career_goal,SK_API_DESIGN,API Design,hard,engineering,3,4,1,False
E0007,Kanat Tulegenov,Backend Engineer,Senior,Backend Engineer,Lead,career_goal,SK_SYSTEM_DESIGN,System Design,hard,engineering,4,5,1,True
E0007,Kanat Tulegenov,Backend Engineer,Senior,Backend Engineer,Lead,career_goal,SK_CONTAINERS,Containers & Orchestration,hard,engineering,2,3,1,False
E0007,Kanat Tulegenov,Backend Engineer,Senior,Backend Engineer,Lead,career_goal,SK_OBSERVABILITY,Observability,hard,engineering,1,4,3,False
E0007,Kanat Tulegenov,Backend Engineer,Senior,Backend Engineer,Lead,career_goal,SK_COMMUNICATION,Communication,soft,communication,2,4,2,False
E0007,Kanat Tulegenov,Backend Engineer,Senior,Backend Engineer,Lead,career_goal,SK_TEAMWORK,Teamwork,soft,collaboration,2,4,2,False
E0007,Kanat Tulegenov,Backend Engineer,Senior,Backend Engineer,Lead,career_goal,SK_MENTORING,Mentoring,soft,leadership,3,4,1,True
E0007,Kanat Tulegenov,Backend Engineer,Senior,Backend Engineer,Lead,career_goal,SK_LEADERSHIP,Leadership,soft,leadership,2,4,2,True
E0007,Kanat Tulegenov,Backend Engineer,Senior,Backend Engineer,Lead,career_goal,SK_STAKEHOLDER_MGMT,Stakeholder Management,soft,communication,2,4,2,False
E0008,Botagoz Sadykova,Frontend Engineer,Senior,Frontend Engineer,Senior,current_profile,SK_HTML_CSS,HTML & CSS,hard,frontend,3,4,1,False
E0008,Botagoz Sadykova,Frontend Engineer,Senior,Frontend Engineer,Senior,current_profile,SK_ACCESSIBILITY,Web Accessibility,hard,frontend,2,3,1,False
E0008,Botagoz Sadykova,Frontend Engineer,Senior,Frontend Engineer,Senior,current_profile,SK_API_DESIGN,API Design,hard,engineering,1,2,1,False
E0008,Botagoz Sadykova,Frontend Engineer,Senior,Frontend Engineer,Senior,current_profile,SK_CICD,CI/CD,hard,engineering,0,2,2,False
E0008,Botagoz Sadykova,Frontend Engineer,Senior,Frontend Engineer,Senior,current_profile,SK_PROBLEM_SOLVING,Problem Solving,soft,thinking,3,4,1,False
E0008,Botagoz Sadykova,Frontend Engineer,Senior,Frontend Engineer,Senior,current_profile,SK_LEADERSHIP,Leadership,soft,leadership,1,2,1,False
E0009,Anna Novikova,Customer Support Specialist,Junior,QA Engineer,Junior,career_goal,SK_TEST_DESIGN,Test Design,hard,quality,0,2,2,True
E0009,Anna Novikova,Customer Support Specialist,Junior,QA Engineer,Junior,career_goal,SK_API_TESTING,API Testing,hard,quality,0,1,1,False
E0009,Anna Novikova,Customer Support Specialist,Junior,QA Engineer,Junior,career_goal,SK_JAVA,Java,hard,engineering,0,1,1,False
E0009,Anna Novikova,Customer Support Specialist,Junior,QA Engineer,Junior,career_goal,SK_SQL,SQL,hard,engineering,0,1,1,False
E0009,Anna Novikova,Customer Support Specialist,Junior,QA Engineer,Junior,career_goal,SK_WRITTEN_COMMUNICATION,Written Communication,soft,communication,1,2,1,False
E0010,Aruzhan Seitkali,Customer Support Specialist,Middle,QA Engineer,Middle,career_goal,SK_TEST_DESIGN,Test Design,hard,quality,0,3,3,False
E0010,Aruzhan Seitkali,Customer Support Specialist,Middle,QA Engineer,Middle,career_goal,SK_TEST_AUTOMATION,Test Automation,hard,quality,0,2,2,False
E0010,Aruzhan Seitkali,Customer Support Specialist,Middle,QA Engineer,Middle,career_goal,SK_API_TESTING,API Testing,hard,quality,0,3,3,True
E0010,Aruzhan Seitkali,Customer Support Specialist,Middle,QA Engineer,Middle,career_goal,SK_LOAD_TESTING,Load Testing,hard,quality,0,1,1,False
E0010,Aruzhan Seitkali,Customer Support Specialist,Middle,QA Engineer,Middle,career_goal,SK_JAVA,Java,hard,engineering,0,2,2,False
E0010,Aruzhan Seitkali,Customer Support Specialist,Middle,QA Engineer,Middle,career_goal,SK_SQL,SQL,hard,engineering,0,2,2,False
E0010,Aruzhan Seitkali,Customer Support Specialist,Middle,QA Engineer,Middle,career_goal,SK_CICD,CI/CD,hard,engineering,0,1,1,False
E0010,Aruzhan Seitkali,Customer Support Specialist,Middle,QA Engineer,Middle,career_goal,SK_TEAMWORK,Teamwork,soft,collaboration,1,3,2,False
E0011,Anna Lebedeva,Data Analyst,Senior,Data Analyst,Senior,current_profile,SK_SQL,SQL,hard,engineering,2,4,2,False
E0011,Anna Lebedeva,Data Analyst,Senior,Data Analyst,Senior,current_profile,SK_AB_TESTING,A/B Testing,hard,data,3,4,1,True
E0011,Anna Lebedeva,Data Analyst,Senior,Data Analyst,Senior,current_profile,SK_DATA_VIZ,Data Visualization,hard,data,3,4,1,False
E0011,Anna Lebedeva,Data Analyst,Senior,Data Analyst,Senior,current_profile,SK_BI_TOOLS,BI Tools,hard,data,2,3,1,False
E0011,Anna Lebedeva,Data Analyst,Senior,Data Analyst,Senior,current_profile,SK_PRODUCT_ANALYTICS,Product Analytics,hard,product,2,3,1,False
E0011,Anna Lebedeva,Data Analyst,Senior,Data Analyst,Senior,current_profile,SK_COMMUNICATION,Communication,soft,communication,3,4,1,False
E0011,Anna Lebedeva,Data Analyst,Senior,Data Analyst,Senior,current_profile,SK_MENTORING,Mentoring,soft,leadership,1,2,1,False
E0011,Anna Lebedeva,Data Analyst,Senior,Data Analyst,Senior,current_profile,SK_LEADERSHIP,Leadership,soft,leadership,0,2,2,False
E0012,Yerzhan Tulegenov,Sales Manager,Middle,Sales Manager,Senior,career_goal,SK_NEGOTIATION,Negotiation,hard,sales,3,4,1,True
E0012,Yerzhan Tulegenov,Sales Manager,Middle,Sales Manager,Senior,career_goal,SK_ACCOUNT_MGMT,Account Management,hard,sales,2,4,2,True
E0012,Yerzhan Tulegenov,Sales Manager,Middle,Sales Manager,Senior,career_goal,SK_COMMUNICATION,Communication,soft,communication,3,4,1,False
E0012,Yerzhan Tulegenov,Sales Manager,Middle,Sales Manager,Senior,career_goal,SK_PUBLIC_SPEAKING,Public Speaking,soft,communication,1,3,2,False
E0012,Yerzhan Tulegenov,Sales Manager,Middle,Sales Manager,Senior,career_goal,SK_STAKEHOLDER_MGMT,Stakeholder Management,soft,communication,2,3,1,False
E0012,Yerzhan Tulegenov,Sales Manager,Middle,Sales Manager,Senior,career_goal,SK_LEADERSHIP,Leadership,soft,leadership,0,2,2,False
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_STATISTICS,Statistics,hard,data,0,4,4,True
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_AB_TESTING,A/B Testing,hard,data,0,4,4,True
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_DATA_VIZ,Data Visualization,hard,data,0,4,4,False
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_BI_TOOLS,BI Tools,hard,data,0,3,3,False
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_DATA_MODELING,Data Modeling,hard,data,0,3,3,False
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_ML_BASICS,Machine Learning Fundamentals,hard,data,0,2,2,False
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_PRODUCT_ANALYTICS,Product Analytics,hard,product,0,3,3,False
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_COMMUNICATION,Communication,soft,communication,2,4,2,False
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_CRITICAL_THINKING,Critical Thinking,soft,thinking,1,4,3,False
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_STAKEHOLDER_MGMT,Stakeholder Management,soft,communication,0,3,3,False
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_PUBLIC_SPEAKING,Public Speaking,soft,communication,1,2,1,False
E0013,Rustem Ismailov,Backend Engineer,Senior,Data Analyst,Senior,career_goal,SK_LEADERSHIP,Leadership,soft,leadership,1,2,1,False
E0014,Yulia Kuznetsova,HR Business Partner,Lead,Product Manager,Lead,career_goal,SK_PRODUCT_DISCOVERY,Product Discovery,hard,product,0,5,5,True
E0014,Yulia Kuznetsova,HR Business Partner,Lead,Product Manager,Lead,career_goal,SK_ROADMAPPING,Roadmapping & Prioritization,hard,product,0,4,4,False
E0014,Yulia Kuznetsova,HR Business Partner,Lead,Product Manager,Lead,career_goal,SK_PRODUCT_ANALYTICS,Product Analytics,hard,product,0,4,4,False
E0014,Yulia Kuznetsova,HR Business Partner,Lead,Product Manager,Lead,career_goal,SK_UX_RESEARCH,UX Research,hard,product,0,4,4,False
E0014,Yulia Kuznetsova,HR Business Partner,Lead,Product Manager,Lead,career_goal,SK_REQUIREMENTS,Requirements Writing,hard,product,0,4,4,False
E0014,Yulia Kuznetsova,HR Business Partner,Lead,Product Manager,Lead,career_goal,SK_AGILE,Agile Practices,hard,product,0,4,4,False
E0014,Yulia Kuznetsova,HR Business Partner,Lead,Product Manager,Lead,career_goal,SK_PROJECT_MGMT,Project Management,hard,product,0,4,4,False
